"ax0ra4","ax1ra4","ax2ra4","ax3ra4","ax4ra4","ax6ra4","ax7ra4","ax0ra5","ax1ra5","C600","np","IO115","M210","C7021","C7016","C7017","C7018","time","date","datetime","noDup","timeDiff"
511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,0,4,0,0,0,1,0,0,"17:36:33:625:",4042016,"2016-04-04 17:36:33",52,3
511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,0,4,1,0,0,1,0,0,"17:36:36:875:",4042016,"2016-04-04 17:36:36",1,0
511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,1,4,1,0,0,1,0,0,"17:36:36:937:",4042016,"2016-04-04 17:36:36",1,0
511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,1,4,1,0,0,1,0,0,"17:36:37:000:",4042016,"2016-04-04 17:36:37",4,0
511.84,511.79,28.58,0.12,100.16,756.74,1156927,0,0,1,4,1,0,0,1,0,0,"17:36:37:250:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,29.94,1.63,99.41,747.12,1147722,0,0,1,4,1,0,0,1,0,0,"17:36:37:312:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,33.8,5.43,97.21,723.14,1123052,0,0,1,4,1,0,0,1,0,0,"17:36:37:375:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,40.36,11.78,93.13,683.77,1083767,0,0,1,4,1,0,0,1,0,0,"17:36:37:437:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,49.69,20.72,86.87,634.6,1028993,0,0,1,4,1,0,0,1,0,0,"17:36:37:500:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,59.67,31.96,78.39,593.62,959950,0,0,1,4,1,0,0,1,0,0,"17:36:37:562:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,67.91,44.17,68.35,566.65,889018,0,0,1,4,1,0,0,1,0,0,"17:36:37:625:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,73.67,55.79,57.72,553.7,828842,0,0,1,4,1,0,0,1,0,0,"17:36:37:687:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,76.77,65.37,47.74,550.68,783997,0,0,1,4,1,0,0,1,0,0,"17:36:37:750:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,77.89,72.48,39.13,550.14,754038,0,0,1,4,1,0,0,1,0,0,"17:36:37:812:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,78.29,77.04,32.33,550.01,739492,0,0,1,4,1,0,0,1,0,0,"17:36:37:875:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,78.45,79.23,27.56,549.99,735887,0,0,1,4,1,0,0,1,0,0,"17:36:37:937:",4042016,"2016-04-04 17:36:37",1,0
511.84,511.79,78.51,79.82,24.61,549.98,735199,0,0,1,4,1,0,0,1,0,0,"17:36:38:000:",4042016,"2016-04-04 17:36:38",1,0
511.84,511.79,78.53,79.96,22.82,549.98,735038,0,0,1,4,1,0,0,1,0,0,"17:36:38:062:",4042016,"2016-04-04 17:36:38",1,0
511.84,511.79,78.54,79.99,21.72,549.99,735002,0,0,1,4,1,0,0,1,0,0,"17:36:38:125:",4042016,"2016-04-04 17:36:38",1,0
