"time","ax0ra4","ax1ra4","ax2ra4","ax3ra4","ax4ra4","ax6ra4","ax7ra4","C6221","ax0ra5","ax1ra5","ax2ra5","ax3ra5","ax4ra5","ax6ra5","ax7ra5","C600","C601","M54","M55","np","IO115","M29","M210","IO214","lazer6","C7021","C7016","C7017","C7018","C7019","C6214","lazer2","dwgn12","last1","last2","last3","last4","last5","last6","last7","date","datetime","noDup","timeDiff"
"17:36:33:625:",511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:33",52,3
"17:36:36:875:",511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:36",1,0
"17:36:36:937:",511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:36",1,0
"17:36:37:000:",511.84,511.79,28.54,0,100.2,757.47,1157521,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",4,0
"17:36:37:250:",511.84,511.79,28.58,0.12,100.16,756.74,1156927,0,0,0,3,7,-3,-44,-43008,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",1,0
"17:36:37:312:",511.84,511.79,29.94,1.63,99.41,747.12,1147722,0,0,0,40,39,-20,-251,-255488,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",1,0
"17:36:37:375:",511.84,511.79,33.8,5.43,97.21,723.14,1123052,0,0,0,79,78,-47,-494,-478720,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",1,0
"17:36:37:437:",511.84,511.79,40.36,11.78,93.13,683.77,1083767,0,0,0,124,119,-81,-746,-756608,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",1,0
"17:36:37:500:",511.84,511.79,49.69,20.72,86.87,634.6,1028993,0,0,0,167,163,-116,-760,-986496,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",1,0
"17:36:37:562:",511.84,511.79,59.67,31.96,78.39,593.62,959950,0,0,0,149,190,-149,-556,-1159808,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,"04042016","2016-04-04 17:36:37",1,0
